1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16836,16283,17327,16197,16069,15552,15924,15990,17149,16062,17658,17227,17244,13406,16408,17029,16325,16198,15324,15005,16272,14351,13980,16655,16085,14291,15493,13536,16210,14558,
16552,16138,16983,15704,16068,15405,15576,15604,16598,16020,17397,16977,16847,13018,16102,16716,16144,16198,14878,14804,16028,14140,13895,16221,16085,14021,15108,13044,15758,14503,
16217,15851,16415,15218,15707,15405,15403,15145,16153,15988,17032,16835,16847,12614,15735,16580,16070,15723,14696,14518,15669,14140,13632,16138,15787,13989,15052,12855,15641,14317,
15988,15660,16253,15093,15156,15398,15184,14764,16153,15740,17007,16417,16740,12238,15522,16465,15914,15627,14219,14451,15520,14044,13265,15830,15462,13943,14915,12640,15641,14071,
15944,15372,16004,14746,15079,15312,15097,14564,16120,15577,16743,16366,16721,12238,15522,16151,15684,15546,13847,14133,15130,13949,13265,15664,15165,13767,14706,12535,15522,14043,
15944,15102,15918,14744,14931,15185,15049,14170,16106,15439,16682,15961,16385,12086,15287,15896,15557,15275,13788,14081,15077,13819,13265,15664,15140,13551,14341,12294,15522,13776,
15702,14936,15881,14567,14880,15164,14578,14016,15918,15036,16435,15706,16121,12049,14798,15519,15424,15068,13788,13992,15077,13696,13040,15595,14793,13466,13864,12294,15450,13535,
15641,14726,15849,14345,14759,15121,14156,13644,15483,14988,16243,15443,16041,11850,14621,15467,15126,15068,13668,13816,15000,13656,12959,15413,14564,13460,13711,11978,15218,13149,
14977,14463,15510,14261,14397,14988,14028,13442,15400,14988,15837,15274,15843,11834,14390,15254,14906,15068,13668,13571,14880,13656,12831,15267,14410,13299,13482,11959,15049,12897,
14733,14441,15193,14261,14256,14692,13975,13442,15400,14962,15702,15247,15843,11711,14390,15204,14524,14806,13504,13411,14674,13575,12793,15182,14350,13112,13482,11911,15003,12808,
