1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
17039,16457,17585,16313,16226,15923,16125,16443,17335,16223,17852,17675,17619,13691,16417,17032,16528,16492,15408,15232,16502,14962,14306,16994,16394,14627,16117,13763,16457,14824,
16728,16138,17075,16179,15499,15776,15924,15606,16946,16143,17658,17435,17421,13622,16261,16480,16382,16240,14967,14974,16243,14658,13931,16994,16050,14291,15677,13354,16340,14455,
16497,15721,16689,16063,15159,15535,15862,15238,16893,15872,17629,17271,17024,13112,15939,16402,15940,16054,14865,14688,16087,14521,13931,16659,16046,13815,15332,13213,15982,14012,
16309,15349,16487,15570,14939,15414,15507,15036,16528,15646,17368,17239,16629,12923,15555,16398,15578,15762,14486,14217,15764,14407,13858,16294,15875,13431,15213,12900,15530,13893,
16073,14798,16117,15344,14659,15346,15342,14906,16163,15483,17128,17239,16629,12674,15555,16389,15470,15463,14250,14150,15622,14068,13632,15811,15621,13411,14938,12429,15490,13819,
16073,14760,15955,15142,14353,15152,15205,14604,15932,15402,17067,17049,16625,12597,15236,16075,15359,15220,14173,14150,15434,13833,13516,15776,15529,13261,14791,11951,15441,13605,
15877,14622,15644,14970,13984,14881,14824,14462,15698,14792,16710,16727,16488,12144,14869,15663,15193,15058,14059,14061,15200,13624,13192,15606,15375,13261,14701,11838,15292,13505,
15658,14439,15481,14757,13883,14881,14655,14110,15698,14341,16631,16564,16303,12004,14671,15594,14991,14806,13953,13971,14972,13214,13052,15303,15070,13176,14362,11834,15263,13505,
15398,14240,15108,14668,13698,14859,14501,13621,15494,14341,16236,16558,16113,11810,14671,15558,14853,14806,13663,13726,14636,13161,12889,15229,14609,13057,14241,11670,15024,13206,
15038,14015,15088,14668,13603,14719,14394,13459,15379,14039,15998,16466,15971,11810,14671,15409,14522,14685,13570,13574,14497,13124,12456,15229,14532,12661,13994,11670,14928,13185,
14879,13841,15037,14659,13417,14719,14131,13459,14855,14039,15733,16466,15804,11620,14671,15318,14172,14669,13391,13399,14310,12813,12359,15200,14138,12565,13915,11560,14861,12894,
14772,13653,14810,14452,13228,14593,13938,13225,14808,13964,15539,16414,15538,11594,14593,15133,13962,14511,13276,13305,14100,12813,12359,15200,14003,12501,13915,11357,14709,12894,
